file_pair,num_pref_A,num_pref_B,num_pref_equal
sid0101-clean-COSINE-0100-M_close_202-truncated.wav / sid0101-clean-COSINE-0100-M_close_202-truncated_freqbin0_scaled0.5.wav,2,0,3
sid4715-noisy-COSINE-6463-F_array1_69_freqbin0_scaled1000.0.wav / sid4715-noisy-COSINE-6463-F_array1_69.wav,0,5,0
sid4715-noisy-COSINE-6463-F_array1_69.wav / sid4715-noisy-COSINE-6463-F_array1_69_freqbin0_scaled0.5.wav,1,0,4
sid1816-anchor-COSINE-2734-M_close_91_freqbin0_scaled1000.0.wav / sid1816-anchor-COSINE-2734-M_close_91.wav,0,5,0
sid0101-clean-COSINE-0100-M_close_202-truncated_freqbin4_scaled1000.0.wav / sid0101-clean-COSINE-0100-M_close_202-truncated.wav,0,5,0
sid1816-anchor-COSINE-2734-M_close_91.wav / sid1816-anchor-COSINE-2734-M_close_91_freqbin0_scaled10.0.wav,4,0,1
sid1816-anchor-COSINE-2734-M_close_91.wav / sid1816-anchor-COSINE-2734-M_close_91_freqbin0_scaled0.5.wav,1,0,4
sid0101-clean-COSINE-0100-M_close_202-truncated_freqbin4_scaled10.0.wav / sid0101-clean-COSINE-0100-M_close_202-truncated.wav,0,3,2
sid0101-clean-COSINE-0100-M_close_202-truncated.wav / sid0101-clean-COSINE-0100-M_close_202-truncated_freqbin0_scaled1000.0.wav,5,0,0
sid4715-noisy-COSINE-6463-F_array1_69.wav / sid4715-noisy-COSINE-6463-F_array1_69_freqbin0_scaled10.0.wav,3,1,1
sid0101-clean-COSINE-0100-M_close_202-truncated_freqbin0_scaled10.0.wav / sid0101-clean-COSINE-0100-M_close_202-truncated.wav,0,2,3
sid0101-clean-COSINE-0100-M_close_202-truncated.wav / sid0101-clean-COSINE-0100-M_close_202-truncated_freqbin4_scaled0.5.wav,1,0,4
sid3629-clean-COSINE-4174-F_close_72.wav / sid3629-clean-COSINE-4174-F_close_72_freqbin1_scaled1000.0.wav,5,0,0
sid3114-clean-COSINE-3826-M_close_132_freqbin40_scaled0.5.wav / sid3114-clean-COSINE-3826-M_close_132.wav,1,0,4
sid2579-noisy-COSINE-3231-F_array1_81_freqbin4_scaled10.0.wav / sid2579-noisy-COSINE-3231-F_array1_81.wav,1,0,4
sid2579-noisy-COSINE-3231-F_array1_81_freqbin4_scaled1000.0.wav / sid2579-noisy-COSINE-3231-F_array1_81.wav,0,5,0
sid3114-clean-COSINE-3826-M_close_132.wav / sid3114-clean-COSINE-3826-M_close_132_freqbin40_scaled10.0.wav,4,0,1
sid3629-clean-COSINE-4174-F_close_72_freqbin1_scaled0.5.wav / sid3629-clean-COSINE-4174-F_close_72.wav,0,1,4
sid4715-noisy-COSINE-6463-F_array1_69.wav / sid4715-noisy-COSINE-6463-F_array1_69_freqbin5_scaled10.0.wav,2,0,3
sid3114-clean-COSINE-3826-M_close_132.wav / sid3114-clean-COSINE-3826-M_close_132_freqbin40_scaled1000.0.wav,5,0,0
sid4715-noisy-COSINE-6463-F_array1_69.wav / sid4715-noisy-COSINE-6463-F_array1_69_freqbin5_scaled1000.0.wav,5,0,0
sid2579-noisy-COSINE-3231-F_array1_81_freqbin4_scaled0.5.wav / sid2579-noisy-COSINE-3231-F_array1_81.wav,1,0,4
sid4715-noisy-COSINE-6463-F_array1_69_freqbin5_scaled0.5.wav / sid4715-noisy-COSINE-6463-F_array1_69.wav,1,0,4
sid3629-clean-COSINE-4174-F_close_72_freqbin1_scaled10.0.wav / sid3629-clean-COSINE-4174-F_close_72.wav,1,3,1
sid1816-anchor-COSINE-2734-M_close_91_freqbin4_scaled0.5.wav / sid1816-anchor-COSINE-2734-M_close_91.wav,1,1,3
sid2579-noisy-COSINE-3231-F_array1_81.wav / sid2579-noisy-COSINE-3231-F_array1_81_freqbin3_scaled1000.0.wav,5,0,0
sid2579-noisy-COSINE-3231-F_array1_81.wav / sid2579-noisy-COSINE-3231-F_array1_81_freqbin3_scaled0.5.wav,1,0,4
sid3114-clean-COSINE-3826-M_close_132.wav / sid3114-clean-COSINE-3826-M_close_132_freqbin0_scaled0.5.wav,0,1,4
sid0101-clean-COSINE-0100-M_close_202-truncated_freqbin31_scaled0.5.wav / sid0101-clean-COSINE-0100-M_close_202-truncated.wav,2,1,2
sid1816-anchor-COSINE-2734-M_close_91_freqbin4_scaled10.0.wav / sid1816-anchor-COSINE-2734-M_close_91.wav,0,5,0
sid3114-clean-COSINE-3826-M_close_132.wav / sid3114-clean-COSINE-3826-M_close_132_freqbin0_scaled10.0.wav,4,0,1
sid1816-anchor-COSINE-2734-M_close_91.wav / sid1816-anchor-COSINE-2734-M_close_91_freqbin4_scaled1000.0.wav,5,0,0
sid0101-clean-COSINE-0100-M_close_202-truncated_freqbin31_scaled10.0.wav / sid0101-clean-COSINE-0100-M_close_202-truncated.wav,1,1,3
sid3114-clean-COSINE-3826-M_close_132.wav / sid3114-clean-COSINE-3826-M_close_132_freqbin0_scaled1000.0.wav,5,0,0
sid0101-clean-COSINE-0100-M_close_202-truncated.wav / sid0101-clean-COSINE-0100-M_close_202-truncated_freqbin31_scaled1000.0.wav,5,0,0
sid2579-noisy-COSINE-3231-F_array1_81.wav / sid2579-noisy-COSINE-3231-F_array1_81_freqbin3_scaled10.0.wav,2,0,3
sid0101-clean-COSINE-0100-M_close_202-truncated_freqbin20_scaled10.0.wav / sid0101-clean-COSINE-0100-M_close_202-truncated.wav,0,3,2
sid2579-noisy-COSINE-3231-F_array1_81_freqbin6_scaled0.5.wav / sid2579-noisy-COSINE-3231-F_array1_81.wav,0,1,4
sid0101-clean-COSINE-0100-M_close_202-truncated.wav / sid0101-clean-COSINE-0100-M_close_202-truncated_freqbin20_scaled0.5.wav,0,2,3
sid0101-clean-COSINE-0100-M_close_202-truncated.wav / sid0101-clean-COSINE-0100-M_close_202-truncated_freqbin17_scaled10.0.wav,4,1,0
sid4715-noisy-COSINE-6463-F_array1_69.wav / sid4715-noisy-COSINE-6463-F_array1_69_freqbin15_scaled1000.0.wav,5,0,0
sid0101-clean-COSINE-0100-M_close_202-truncated_freqbin17_scaled1000.0.wav / sid0101-clean-COSINE-0100-M_close_202-truncated.wav,0,5,0
sid0101-clean-COSINE-0100-M_close_202-truncated_freqbin20_scaled1000.0.wav / sid0101-clean-COSINE-0100-M_close_202-truncated.wav,0,5,0
sid4715-noisy-COSINE-6463-F_array1_69_freqbin15_scaled10.0.wav / sid4715-noisy-COSINE-6463-F_array1_69.wav,0,4,1
sid0101-clean-COSINE-0100-M_close_202-truncated_freqbin17_scaled0.5.wav / sid0101-clean-COSINE-0100-M_close_202-truncated.wav,0,1,4
sid2579-noisy-COSINE-3231-F_array1_81_freqbin6_scaled1000.0.wav / sid2579-noisy-COSINE-3231-F_array1_81.wav,0,5,0
sid4715-noisy-COSINE-6463-F_array1_69.wav / sid4715-noisy-COSINE-6463-F_array1_69_freqbin15_scaled0.5.wav,0,1,4
sid2579-noisy-COSINE-3231-F_array1_81.wav / sid2579-noisy-COSINE-3231-F_array1_81_freqbin6_scaled10.0.wav,3,0,2
sid3629-clean-COSINE-4174-F_close_72.wav / sid3629-clean-COSINE-4174-F_close_72_freqbin6_scaled0.5.wav,0,2,6
sid1816-anchor-COSINE-2734-M_close_91_freqbin20_scaled10.0.wav / sid1816-anchor-COSINE-2734-M_close_91.wav,0,6,2
sid3114-clean-COSINE-3826-M_close_132_freqbin6_scaled1000.0.wav / sid3114-clean-COSINE-3826-M_close_132.wav,1,7,0
sid3114-clean-COSINE-3826-M_close_132_freqbin6_scaled0.5.wav / sid3114-clean-COSINE-3826-M_close_132.wav,1,0,7
sid3629-clean-COSINE-4174-F_close_72.wav / sid3629-clean-COSINE-4174-F_close_72_freqbin6_scaled1000.0.wav,8,0,0
sid1816-anchor-COSINE-2734-M_close_91.wav / sid1816-anchor-COSINE-2734-M_close_91_freqbin20_scaled1000.0.wav,8,0,0
sid4715-noisy-COSINE-6463-F_array1_69_freqbin20_scaled1000.0.wav / sid4715-noisy-COSINE-6463-F_array1_69.wav,0,8,0
sid4715-noisy-COSINE-6463-F_array1_69_freqbin20_scaled0.5.wav / sid4715-noisy-COSINE-6463-F_array1_69.wav,0,0,8
sid3114-clean-COSINE-3826-M_close_132_freqbin6_scaled10.0.wav / sid3114-clean-COSINE-3826-M_close_132.wav,0,8,0
sid1816-anchor-COSINE-2734-M_close_91.wav / sid1816-anchor-COSINE-2734-M_close_91_freqbin20_scaled0.5.wav,0,0,8
sid3629-clean-COSINE-4174-F_close_72_freqbin6_scaled10.0.wav / sid3629-clean-COSINE-4174-F_close_72.wav,0,8,0
sid4715-noisy-COSINE-6463-F_array1_69.wav / sid4715-noisy-COSINE-6463-F_array1_69_freqbin20_scaled10.0.wav,4,0,4
sid1816-anchor-COSINE-2734-M_close_91.wav / sid1816-anchor-COSINE-2734-M_close_91_freqbin14_scaled10.0.wav,6,0,2
sid0101-clean-COSINE-0100-M_close_202-truncated_freqbin15_scaled1000.0.wav / sid0101-clean-COSINE-0100-M_close_202-truncated.wav,0,7,1
sid0101-clean-COSINE-0100-M_close_202-truncated_freqbin14_scaled10.0.wav / sid0101-clean-COSINE-0100-M_close_202-truncated.wav,0,4,4
sid0101-clean-COSINE-0100-M_close_202-truncated.wav / sid0101-clean-COSINE-0100-M_close_202-truncated_freqbin15_scaled0.5.wav,0,1,7
sid1816-anchor-COSINE-2734-M_close_91_freqbin14_scaled0.5.wav / sid1816-anchor-COSINE-2734-M_close_91.wav,0,1,7
sid1816-anchor-COSINE-2734-M_close_91.wav / sid1816-anchor-COSINE-2734-M_close_91_freqbin17_scaled10.0.wav,6,0,2
sid0101-clean-COSINE-0100-M_close_202-truncated.wav / sid0101-clean-COSINE-0100-M_close_202-truncated_freqbin14_scaled0.5.wav,0,1,7
sid1816-anchor-COSINE-2734-M_close_91.wav / sid1816-anchor-COSINE-2734-M_close_91_freqbin17_scaled0.5.wav,0,0,8
sid1816-anchor-COSINE-2734-M_close_91.wav / sid1816-anchor-COSINE-2734-M_close_91_freqbin17_scaled1000.0.wav,7,0,1
sid0101-clean-COSINE-0100-M_close_202-truncated_freqbin14_scaled1000.0.wav / sid0101-clean-COSINE-0100-M_close_202-truncated.wav,0,8,0
sid1816-anchor-COSINE-2734-M_close_91.wav / sid1816-anchor-COSINE-2734-M_close_91_freqbin14_scaled1000.0.wav,8,0,0
sid0101-clean-COSINE-0100-M_close_202-truncated.wav / sid0101-clean-COSINE-0100-M_close_202-truncated_freqbin15_scaled10.0.wav,6,0,2
sid2579-noisy-COSINE-3231-F_array1_81_freqbin20_scaled1000.0.wav / sid2579-noisy-COSINE-3231-F_array1_81.wav,0,5,0
sid2579-noisy-COSINE-3231-F_array1_81.wav / sid2579-noisy-COSINE-3231-F_array1_81_freqbin26_scaled0.5.wav,1,0,4
sid1816-anchor-COSINE-2734-M_close_91_freqbin6_scaled1000.0.wav / sid1816-anchor-COSINE-2734-M_close_91.wav,0,5,0
sid2579-noisy-COSINE-3231-F_array1_81_freqbin20_scaled0.5.wav / sid2579-noisy-COSINE-3231-F_array1_81.wav,1,1,3
sid2579-noisy-COSINE-3231-F_array1_81_freqbin20_scaled10.0.wav / sid2579-noisy-COSINE-3231-F_array1_81.wav,0,5,0
sid3114-clean-COSINE-3826-M_close_132.wav / sid3114-clean-COSINE-3826-M_close_132_freqbin17_scaled1000.0.wav,5,0,0
sid3114-clean-COSINE-3826-M_close_132.wav / sid3114-clean-COSINE-3826-M_close_132_freqbin17_scaled10.0.wav,5,0,0
sid2579-noisy-COSINE-3231-F_array1_81_freqbin26_scaled1000.0.wav / sid2579-noisy-COSINE-3231-F_array1_81.wav,0,5,0
sid3114-clean-COSINE-3826-M_close_132_freqbin17_scaled0.5.wav / sid3114-clean-COSINE-3826-M_close_132.wav,0,0,5
sid1816-anchor-COSINE-2734-M_close_91.wav / sid1816-anchor-COSINE-2734-M_close_91_freqbin6_scaled0.5.wav,0,0,5
sid1816-anchor-COSINE-2734-M_close_91.wav / sid1816-anchor-COSINE-2734-M_close_91_freqbin6_scaled10.0.wav,5,0,0
sid2579-noisy-COSINE-3231-F_array1_81_freqbin26_scaled10.0.wav / sid2579-noisy-COSINE-3231-F_array1_81.wav,0,5,0
sid0999-noisy-COSINE-1399-F_array1_68-truncated_freqbin14_scaled1000.0.wav / sid0999-noisy-COSINE-1399-F_array1_68-truncated.wav,0,11,0
sid4715-noisy-COSINE-6463-F_array1_69_freqbin26_scaled0.5.wav / sid4715-noisy-COSINE-6463-F_array1_69.wav,1,0,10
sid5333-noisy-COSINE-7408-M_array1_149_freqbin14_scaled0.5.wav / sid5333-noisy-COSINE-7408-M_array1_149.wav,1,1,9
sid3629-clean-COSINE-4174-F_close_72_freqbin12_scaled0.5.wav / sid3629-clean-COSINE-4174-F_close_72.wav,3,1,7
sid0999-noisy-COSINE-1399-F_array1_68-truncated.wav / sid0999-noisy-COSINE-1399-F_array1_68-truncated_freqbin14_scaled10.0.wav,11,0,0
sid3629-clean-COSINE-4174-F_close_72.wav / sid3629-clean-COSINE-4174-F_close_72_freqbin12_scaled10.0.wav,11,0,0
sid4715-noisy-COSINE-6463-F_array1_69_freqbin26_scaled10.0.wav / sid4715-noisy-COSINE-6463-F_array1_69.wav,1,4,6
sid4715-noisy-COSINE-6463-F_array1_69_freqbin26_scaled1000.0.wav / sid4715-noisy-COSINE-6463-F_array1_69.wav,0,11,0
sid5333-noisy-COSINE-7408-M_array1_149_freqbin14_scaled10.0.wav / sid5333-noisy-COSINE-7408-M_array1_149.wav,0,9,2
sid5333-noisy-COSINE-7408-M_array1_149_freqbin14_scaled1000.0.wav / sid5333-noisy-COSINE-7408-M_array1_149.wav,0,11,0
sid0999-noisy-COSINE-1399-F_array1_68-truncated.wav / sid0999-noisy-COSINE-1399-F_array1_68-truncated_freqbin14_scaled0.5.wav,0,1,10
sid3629-clean-COSINE-4174-F_close_72_freqbin12_scaled1000.0.wav / sid3629-clean-COSINE-4174-F_close_72.wav,0,11,0
sid0101-clean-COSINE-0100-M_close_202-truncated.wav / sid0101-clean-COSINE-0100-M_close_202-truncated_freqbin6_scaled10.0.wav,6,0,1
sid0999-noisy-COSINE-1399-F_array1_68-truncated.wav / sid0999-noisy-COSINE-1399-F_array1_68-truncated_freqbin26_scaled10.0.wav,6,0,1
sid0999-noisy-COSINE-1399-F_array1_68-truncated_freqbin26_scaled1000.0.wav / sid0999-noisy-COSINE-1399-F_array1_68-truncated.wav,0,7,0
sid0101-clean-COSINE-0100-M_close_202-truncated.wav / sid0101-clean-COSINE-0100-M_close_202-truncated_freqbin6_scaled1000.0.wav,7,0,0
sid0999-noisy-COSINE-1399-F_array1_68-truncated_freqbin26_scaled0.5.wav / sid0999-noisy-COSINE-1399-F_array1_68-truncated.wav,1,1,5
sid0101-clean-COSINE-0100-M_close_202-truncated.wav / sid0101-clean-COSINE-0100-M_close_202-truncated_freqbin6_scaled0.5.wav,1,1,5
sid3629-clean-COSINE-4174-F_close_72_freqbin20_scaled10.0.wav / sid3629-clean-COSINE-4174-F_close_72.wav,1,3,3
sid3629-clean-COSINE-4174-F_close_72_freqbin20_scaled1000.0.wav / sid3629-clean-COSINE-4174-F_close_72.wav,0,7,0
sid4715-noisy-COSINE-6463-F_array1_69_freqbin17_scaled0.5.wav / sid4715-noisy-COSINE-6463-F_array1_69.wav,1,0,6
sid3629-clean-COSINE-4174-F_close_72.wav / sid3629-clean-COSINE-4174-F_close_72_freqbin20_scaled0.5.wav,0,0,7
sid4715-noisy-COSINE-6463-F_array1_69_freqbin17_scaled10.0.wav / sid4715-noisy-COSINE-6463-F_array1_69.wav,0,6,1
sid4715-noisy-COSINE-6463-F_array1_69_freqbin17_scaled1000.0.wav / sid4715-noisy-COSINE-6463-F_array1_69.wav,0,7,0
sid5333-noisy-COSINE-7408-M_array1_149.wav / sid5333-noisy-COSINE-7408-M_array1_149_freqbin26_scaled10.0.wav,1,1,3
sid1816-anchor-COSINE-2734-M_close_91.wav / sid1816-anchor-COSINE-2734-M_close_91_freqbin15_scaled1000.0.wav,5,0,0
sid5333-noisy-COSINE-7408-M_array1_149.wav / sid5333-noisy-COSINE-7408-M_array1_149_freqbin26_scaled1000.0.wav,5,0,0
sid2579-noisy-COSINE-3231-F_array1_81.wav / sid2579-noisy-COSINE-3231-F_array1_81_freqbin17_scaled10.0.wav,2,1,2
sid3114-clean-COSINE-3826-M_close_132_freqbin20_scaled0.5.wav / sid3114-clean-COSINE-3826-M_close_132.wav,0,0,5
sid1816-anchor-COSINE-2734-M_close_91.wav / sid1816-anchor-COSINE-2734-M_close_91_freqbin15_scaled10.0.wav,2,1,2
sid3114-clean-COSINE-3826-M_close_132.wav / sid3114-clean-COSINE-3826-M_close_132_freqbin20_scaled1000.0.wav,5,0,0
sid1816-anchor-COSINE-2734-M_close_91_freqbin15_scaled0.5.wav / sid1816-anchor-COSINE-2734-M_close_91.wav,0,0,5
sid3114-clean-COSINE-3826-M_close_132_freqbin20_scaled10.0.wav / sid3114-clean-COSINE-3826-M_close_132.wav,0,3,2
sid5333-noisy-COSINE-7408-M_array1_149.wav / sid5333-noisy-COSINE-7408-M_array1_149_freqbin26_scaled0.5.wav,1,0,4
sid2579-noisy-COSINE-3231-F_array1_81_freqbin17_scaled0.5.wav / sid2579-noisy-COSINE-3231-F_array1_81.wav,0,1,4
sid2579-noisy-COSINE-3231-F_array1_81_freqbin17_scaled1000.0.wav / sid2579-noisy-COSINE-3231-F_array1_81.wav,0,5,0
sid0999-noisy-COSINE-1399-F_array1_68-truncated_freqbin17_scaled0.5.wav / sid0999-noisy-COSINE-1399-F_array1_68-truncated.wav,1,0,4
sid0999-noisy-COSINE-1399-F_array1_68-truncated.wav / sid0999-noisy-COSINE-1399-F_array1_68-truncated_freqbin20_scaled10.0.wav,4,0,1
sid5333-noisy-COSINE-7408-M_array1_149.wav / sid5333-noisy-COSINE-7408-M_array1_149_freqbin6_scaled0.5.wav,0,0,5
sid5333-noisy-COSINE-7408-M_array1_149_freqbin6_scaled10.0.wav / sid5333-noisy-COSINE-7408-M_array1_149.wav,0,2,3
sid3114-clean-COSINE-3826-M_close_132.wav / sid3114-clean-COSINE-3826-M_close_132_freqbin14_scaled1000.0.wav,5,0,0
sid3114-clean-COSINE-3826-M_close_132_freqbin14_scaled0.5.wav / sid3114-clean-COSINE-3826-M_close_132.wav,0,0,5
sid5333-noisy-COSINE-7408-M_array1_149.wav / sid5333-noisy-COSINE-7408-M_array1_149_freqbin6_scaled1000.0.wav,5,0,0
sid0999-noisy-COSINE-1399-F_array1_68-truncated_freqbin20_scaled1000.0.wav / sid0999-noisy-COSINE-1399-F_array1_68-truncated.wav,0,5,0
sid0999-noisy-COSINE-1399-F_array1_68-truncated_freqbin20_scaled0.5.wav / sid0999-noisy-COSINE-1399-F_array1_68-truncated.wav,0,0,5
sid0999-noisy-COSINE-1399-F_array1_68-truncated.wav / sid0999-noisy-COSINE-1399-F_array1_68-truncated_freqbin17_scaled10.0.wav,5,0,0
sid0999-noisy-COSINE-1399-F_array1_68-truncated.wav / sid0999-noisy-COSINE-1399-F_array1_68-truncated_freqbin17_scaled1000.0.wav,5,0,0
sid3114-clean-COSINE-3826-M_close_132_freqbin14_scaled10.0.wav / sid3114-clean-COSINE-3826-M_close_132.wav,0,4,1
sid0999-noisy-COSINE-1399-F_array1_68-truncated_freqbin6_scaled1000.0.wav / sid0999-noisy-COSINE-1399-F_array1_68-truncated.wav,0,8,0
sid0101-clean-COSINE-0100-M_close_202-truncated_freqbin26_scaled1000.0.wav / sid0101-clean-COSINE-0100-M_close_202-truncated.wav,0,8,0
sid0999-noisy-COSINE-1399-F_array1_68-truncated.wav / sid0999-noisy-COSINE-1399-F_array1_68-truncated_freqbin6_scaled0.5.wav,0,1,7
sid3114-clean-COSINE-3826-M_close_132.wav / sid3114-clean-COSINE-3826-M_close_132_freqbin15_scaled0.5.wav,0,0,8
sid3114-clean-COSINE-3826-M_close_132.wav / sid3114-clean-COSINE-3826-M_close_132_freqbin15_scaled1000.0.wav,8,0,0
sid3629-clean-COSINE-4174-F_close_72_freqbin26_scaled0.5.wav / sid3629-clean-COSINE-4174-F_close_72.wav,0,0,8
sid3629-clean-COSINE-4174-F_close_72_freqbin26_scaled1000.0.wav / sid3629-clean-COSINE-4174-F_close_72.wav,1,7,0
sid0999-noisy-COSINE-1399-F_array1_68-truncated_freqbin6_scaled10.0.wav / sid0999-noisy-COSINE-1399-F_array1_68-truncated.wav,0,7,1
sid3114-clean-COSINE-3826-M_close_132_freqbin15_scaled10.0.wav / sid3114-clean-COSINE-3826-M_close_132.wav,0,6,2
sid3629-clean-COSINE-4174-F_close_72_freqbin26_scaled10.0.wav / sid3629-clean-COSINE-4174-F_close_72.wav,0,5,3
sid0101-clean-COSINE-0100-M_close_202-truncated_freqbin26_scaled10.0.wav / sid0101-clean-COSINE-0100-M_close_202-truncated.wav,0,5,3
sid0101-clean-COSINE-0100-M_close_202-truncated.wav / sid0101-clean-COSINE-0100-M_close_202-truncated_freqbin26_scaled0.5.wav,0,0,8
sid3114-clean-COSINE-3826-M_close_132_freqbin12_scaled0.5.wav / sid3114-clean-COSINE-3826-M_close_132.wav,1,0,4
sid3114-clean-COSINE-3826-M_close_132_freqbin26_scaled1000.0.wav / sid3114-clean-COSINE-3826-M_close_132.wav,0,5,0
sid3629-clean-COSINE-4174-F_close_72.wav / sid3629-clean-COSINE-4174-F_close_72_freqbin15_scaled1000.0.wav,5,0,0
sid3114-clean-COSINE-3826-M_close_132_freqbin26_scaled10.0.wav / sid3114-clean-COSINE-3826-M_close_132.wav,0,3,2
sid3629-clean-COSINE-4174-F_close_72.wav / sid3629-clean-COSINE-4174-F_close_72_freqbin15_scaled0.5.wav,1,0,4
sid0999-noisy-COSINE-1399-F_array1_68-truncated_freqbin15_scaled0.5.wav / sid0999-noisy-COSINE-1399-F_array1_68-truncated.wav,0,0,5
sid3114-clean-COSINE-3826-M_close_132.wav / sid3114-clean-COSINE-3826-M_close_132_freqbin12_scaled10.0.wav,5,0,0
sid0999-noisy-COSINE-1399-F_array1_68-truncated.wav / sid0999-noisy-COSINE-1399-F_array1_68-truncated_freqbin15_scaled10.0.wav,4,0,1
sid3114-clean-COSINE-3826-M_close_132_freqbin12_scaled1000.0.wav / sid3114-clean-COSINE-3826-M_close_132.wav,1,4,0
sid3114-clean-COSINE-3826-M_close_132.wav / sid3114-clean-COSINE-3826-M_close_132_freqbin26_scaled0.5.wav,0,0,5
sid0999-noisy-COSINE-1399-F_array1_68-truncated.wav / sid0999-noisy-COSINE-1399-F_array1_68-truncated_freqbin15_scaled1000.0.wav,5,0,0
sid3629-clean-COSINE-4174-F_close_72_freqbin15_scaled10.0.wav / sid3629-clean-COSINE-4174-F_close_72.wav,0,5,0
sid1816-anchor-COSINE-2734-M_close_91_freqbin26_scaled10.0.wav / sid1816-anchor-COSINE-2734-M_close_91.wav,0,5,0
sid0101-clean-COSINE-0100-M_close_202-truncated.wav / sid0101-clean-COSINE-0100-M_close_202-truncated_freqbin12_scaled0.5.wav,1,0,4
sid5333-noisy-COSINE-7408-M_array1_149.wav / sid5333-noisy-COSINE-7408-M_array1_149_freqbin17_scaled0.5.wav,0,1,4
sid5333-noisy-COSINE-7408-M_array1_149_freqbin17_scaled1000.0.wav / sid5333-noisy-COSINE-7408-M_array1_149.wav,0,5,0
sid5333-noisy-COSINE-7408-M_array1_149.wav / sid5333-noisy-COSINE-7408-M_array1_149_freqbin15_scaled10.0.wav,3,0,2
sid1816-anchor-COSINE-2734-M_close_91.wav / sid1816-anchor-COSINE-2734-M_close_91_freqbin26_scaled1000.0.wav,5,0,0
sid1816-anchor-COSINE-2734-M_close_91.wav / sid1816-anchor-COSINE-2734-M_close_91_freqbin26_scaled0.5.wav,0,0,5
sid5333-noisy-COSINE-7408-M_array1_149.wav / sid5333-noisy-COSINE-7408-M_array1_149_freqbin15_scaled0.5.wav,0,1,4
sid5333-noisy-COSINE-7408-M_array1_149.wav / sid5333-noisy-COSINE-7408-M_array1_149_freqbin17_scaled10.0.wav,4,0,1
sid0101-clean-COSINE-0100-M_close_202-truncated_freqbin12_scaled10.0.wav / sid0101-clean-COSINE-0100-M_close_202-truncated.wav,0,4,1
sid0101-clean-COSINE-0100-M_close_202-truncated.wav / sid0101-clean-COSINE-0100-M_close_202-truncated_freqbin12_scaled1000.0.wav,5,0,0
sid5333-noisy-COSINE-7408-M_array1_149.wav / sid5333-noisy-COSINE-7408-M_array1_149_freqbin15_scaled1000.0.wav,4,0,1
sid2579-noisy-COSINE-3231-F_array1_81_freqbin14_scaled1000.0.wav / sid2579-noisy-COSINE-3231-F_array1_81.wav,0,5,0
sid4715-noisy-COSINE-6463-F_array1_69_freqbin12_scaled10.0.wav / sid4715-noisy-COSINE-6463-F_array1_69.wav,0,3,2
sid4715-noisy-COSINE-6463-F_array1_69.wav / sid4715-noisy-COSINE-6463-F_array1_69_freqbin12_scaled1000.0.wav,5,0,0
sid4715-noisy-COSINE-6463-F_array1_69.wav / sid4715-noisy-COSINE-6463-F_array1_69_freqbin12_scaled0.5.wav,0,1,4
sid2579-noisy-COSINE-3231-F_array1_81.wav / sid2579-noisy-COSINE-3231-F_array1_81_freqbin14_scaled10.0.wav,5,0,0
sid5333-noisy-COSINE-7408-M_array1_149.wav / sid5333-noisy-COSINE-7408-M_array1_149_freqbin12_scaled1000.0.wav,4,0,1
sid3629-clean-COSINE-4174-F_close_72.wav / sid3629-clean-COSINE-4174-F_close_72_freqbin14_scaled10.0.wav,5,0,0
sid2579-noisy-COSINE-3231-F_array1_81.wav / sid2579-noisy-COSINE-3231-F_array1_81_freqbin14_scaled0.5.wav,1,0,4
sid3629-clean-COSINE-4174-F_close_72_freqbin14_scaled1000.0.wav / sid3629-clean-COSINE-4174-F_close_72.wav,0,5,0
sid5333-noisy-COSINE-7408-M_array1_149.wav / sid5333-noisy-COSINE-7408-M_array1_149_freqbin12_scaled10.0.wav,1,0,4
sid3629-clean-COSINE-4174-F_close_72_freqbin14_scaled0.5.wav / sid3629-clean-COSINE-4174-F_close_72.wav,1,1,3
sid5333-noisy-COSINE-7408-M_array1_149.wav / sid5333-noisy-COSINE-7408-M_array1_149_freqbin12_scaled0.5.wav,1,0,4
sid5333-noisy-COSINE-7408-M_array1_149_freqbin20_scaled10.0.wav / sid5333-noisy-COSINE-7408-M_array1_149.wav,0,5,0
sid4715-noisy-COSINE-6463-F_array1_69.wav / sid4715-noisy-COSINE-6463-F_array1_69_freqbin6_scaled10.0.wav,4,1,0
sid5333-noisy-COSINE-7408-M_array1_149_freqbin20_scaled1000.0.wav / sid5333-noisy-COSINE-7408-M_array1_149.wav,0,5,0
sid2579-noisy-COSINE-3231-F_array1_81_freqbin12_scaled1000.0.wav / sid2579-noisy-COSINE-3231-F_array1_81.wav,0,5,0
sid2579-noisy-COSINE-3231-F_array1_81_freqbin12_scaled0.5.wav / sid2579-noisy-COSINE-3231-F_array1_81.wav,1,0,4
sid5333-noisy-COSINE-7408-M_array1_149_freqbin20_scaled0.5.wav / sid5333-noisy-COSINE-7408-M_array1_149.wav,1,1,3
sid4715-noisy-COSINE-6463-F_array1_69.wav / sid4715-noisy-COSINE-6463-F_array1_69_freqbin6_scaled0.5.wav,0,0,5
sid1816-anchor-COSINE-2734-M_close_91.wav / sid1816-anchor-COSINE-2734-M_close_91_freqbin12_scaled10.0.wav,5,0,0
sid1816-anchor-COSINE-2734-M_close_91_freqbin12_scaled1000.0.wav / sid1816-anchor-COSINE-2734-M_close_91.wav,0,5,0
sid4715-noisy-COSINE-6463-F_array1_69_freqbin6_scaled1000.0.wav / sid4715-noisy-COSINE-6463-F_array1_69.wav,0,5,0
